Event Objective,Objective Status,Topic,# of events this topic is in (from Topic),Discipline / Role (from Topic),Curriculum Event,23-24 Event,Course Name (from Curriculum Event) (from Topic),Event Date
Calculate risk difference and risk ratios. (EO-5045),Active,ASSOCIATION; CORRELATION; AND DIAGNOSTIC TESTING (TO-6547),0,Scholar,M1 SCHO EBM Review Session-VF Summative,,,
Differentiate between correlation and causation and describe the measures of association. (EO-5044),Active,ASSOCIATION; CORRELATION; AND DIAGNOSTIC TESTING (TO-6547),0,Scholar,M1 SCHO EBM Review Session-VF Summative,,,
Describe the basics of the biopsychosocial model of medicine (EO-7783),Active,BIOPSYCHOSOCIAL MODEL: PLACE MATTERS (TO-1228),0,Advocate,,,,
Conduct a comprehensive biopsychosocial evaluation of a patient. (EO-5720),Active,BIOPSYCHOSOCIAL MODEL: PLACE MATTERS (TO-1228),0,Advocate,,,,
Compare and contrast the biopsychosocial model with the medical model. (EO-5719),Active,BIOPSYCHOSOCIAL MODEL: PLACE MATTERS (TO-1228),0,Advocate,,,,
Demonstrate how to design treatments that address the biological; psychological; and social aspects of selected common diseases. (EO-4463),Active,BIOPSYCHOSOCIAL MODEL: PLACE MATTERS (TO-1228),0,Advocate,,,,
List the name and the molecular reason for the most frequent bleeding disorders. (EO-0827),Active,Bleeding Disorders  (TO-0150),0,Biochemistry,,,,
List the name and action of antithrombotic drugs. (EO-0603),Active,Bleeding Disorders  (TO-0150),0,Biochemistry,,,,
Describe what diagnostic tests are available to identify bleeding disorders. (EO-0828),Active,Bleeding Disorders  (TO-0150),0,Biochemistry,,,,
List the name and the molecular reason for the most frequent bleeding disorders related to the cellular aspect of blood clotting. (EO-0829),Active,Bleeding Disorders  (TO-0150),0,Biochemistry,,,,
List the name and the molecular reason for the most frequent bleeding disorders. (EO-0604),Active,Bleeding Disorders  (TO-0150),0,Biochemistry,,,,
List the name and the molecular reason for the most frequent bleeding disorders related to the molecular aspect of blood clotting. (EO-0830),Active,Bleeding Disorders  (TO-0150),0,Biochemistry,,,,
Describe what diagnostic tests are available to identify bleeding disorders. (EO-0605),Active,Bleeding Disorders  (TO-0150),0,Biochemistry,,,,
Discuss how medical professionals advocate climate justice among patients and colleagues. (EO-10820),Active,Climate Justice (TO-7094),0,Advocate,M2 EQUI ADVO Panel: Climate Justice,,,
"Describe how racially discriminatory policies manifest in structural inequities of the built environment and risk of harm from environmental exposures, such as heat. (EO-10819)",Active,Climate Justice (TO-7094),0,Advocate,M2 EQUI ADVO Panel: Climate Justice,,,
"Explain the unequal burden of climate change on the poor, the young, the elderly, communities of color and those who have contributed least to carbon pollution. (EO-10816)",Active,Climate Justice (TO-7094),0,Advocate,M2 EQUI ADVO Panel: Climate Justice,,,
"Define urban heat islands, the built environment, and urbanization. (EO-10817)",Active,Climate Justice (TO-7094),0,Advocate,M2 EQUI ADVO Panel: Climate Justice,,,
Articulate how the physical environment mediates behavior with implications for physical and mental health. (EO-10818),Active,Climate Justice (TO-7094),0,Advocate,M2 EQUI ADVO Panel: Climate Justice,,,
"Define the Anthropocene, planetary health, and climate change. (EO-10815)",Active,Climate Justice (TO-7094),0,Advocate,M2 EQUI ADVO Panel: Climate Justice,,,
Identify barriers to interprofessional collaboration in determining equitable and person-centered care plans for older adults. (EO-10859),Active,Collaborative and interprofessional care for older adults  (TO-7098),0,Advocate,,,,
Identify the various members of the clinical care team for older adults. (EO-10857),Active,Collaborative and interprofessional care for older adults  (TO-7098),0,Advocate,,,,
Describe settings of care and transitions between settings in caring for older adults. (EO-10858),Active,Collaborative and interprofessional care for older adults  (TO-7098),0,Advocate,,,,
Define what constitutes a conflict of interest in the medical profession. (EO-4954),Active,Conflicts of Interest in Medicine  (TO-0990),0,Professional,,,,
Define fidelity with respect to patient-physician relationships. (EO-4953),Active,Conflicts of Interest in Medicine  (TO-0990),0,Professional,,,,
Identify legislation geared towards making physician; institutional and private interests in patient care more transparent. (EO-4956),Active,Conflicts of Interest in Medicine  (TO-0990),0,Professional,,,,
Identify potential conflicts of interest in clinical and research scenarios. (EO-4955),Active,Conflicts of Interest in Medicine  (TO-0990),0,Professional,,,,
Explain common malformations resulting from improper pharyngeal groove regression. (EO-0928),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Describe fontanelles and sutures and their clinical importance. (EO-0935),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Describe the development of the thyroid gland and congenital malformations resulting in thyroglossal duct cysts; ectopic thyroid tissue; and pyramidal lobes. (EO-0930),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
List the cranial nerve associated with each pharyngeal arch and the skeletal muscle(s) that arise from paraxial mesoderm within an arch. (EO-0931),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Describe the embryology of the pharyngeal apparatus: pharyngeal grooves; arches; pouches; and membranes; and their adult derivatives. (EO-0927),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Explain the development of the tongue and describe the motor; general sensory; and special visceral (taste) supply to the tongue. (EO-0932),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Describe the two functional parts of the skull: the neurocranium and viscerocranium. (EO-0933),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Describe the embryonic development of the face; lips; jaws; palate; and nasal cavity. (EO-0937),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Explain how the parathyroid glands descend in the neck and take up their normal anatomic position with the thyroid gland. (EO-0929),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Define craniosynostosis. (EO-0936),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Describe the embryologic basis of cleft lip and cleft palate. (EO-0938),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Describe the two forms of bone formation in the developing skull. (EO-0934),Active,Embry Head and Neck Embryology: Pharyngeal Apparatus (TO-0166),0,Embryology,M1 ANAT Anatomy Lab: H&N Review-RMD 565,,,
Demonstrate verbal and nonverbal expression of empathy. (EO-4617),Active,Empathy and Compassion  (TO-0874),0,Communicator,,,,
Compare and contrast empathy and sympathy. (EO-4615),Active,Empathy and Compassion  (TO-0874),0,Communicator,,,,
Elicit the impact of a patient’s presenting problem on his/her life. (EO-4621),Active,Empathy and Compassion  (TO-0874),0,Communicator,,,,
Describe the metabolic and non-metabolic effects of thyroid hormone. (EO-10899),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the possible pathophysiological mechanisms of type 2 diabetes. (EO-11103),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the synthesis of thyroid hormone. (EO-10990),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the control of thyroid hormone secretion by the hypothalamic-pituitary axis. (EO-10991),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the effects of hypoglycemia. (EO-11102),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the control of insulin secretion by glucose. (EO-10996),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe how the hormones of metabolism combine to regulate plasma glucose. (EO-10998),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the effects of IGF-1 on growth. (EO-10994),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the complication of diabetes. (EO-11101),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the general characteristics and effects of glucagon. (EO-10997),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the control of cortisol secretion by the hypothalamic-pituitary axis. (EO-10898),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the general characteristics and effects of insulin. (EO-10995),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the metabolic and non-metabolic effects of cortisol. (EO-10897),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the metabolic effects of increasing growth hormone. (EO-10992),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the general characteristics of type 1 & type 2 diabetes. (EO-10999),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the control of growth hormone secretion by the hypothalamic-pituitary axis. (EO-10993),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the pathophysiological mechanisms underlying the effects of insulin deficiency. (EO-11100),Active,Endocrinology and Diabetes:  A Physiology Review (TO-8006),0,Physiology,,,,
Describe the pathogenesis & clinical presentation of esophageal achalasia. (EO-7214),Active,Esophageal Diseases: GERD (Gastroesophageal Reflux Disease)  (TO-6594),0,Pathophysiology,,,,
Describe the pathogenesis & clinical presentation of reflux esophagitis. (EO-7215),Active,Esophageal Diseases: GERD (Gastroesophageal Reflux Disease)  (TO-6594),0,Pathophysiology,,,,
Understand the ethical basis of the patient-physician relationship as it relates to shared-decision making. (EO-5014),Active,Ethics of Shared Decision-Making  (TO-1000),0,Professional,,,,
Apply knowledge of shared decision-making and decisional capacity to analyze medical decision making in clinical scenarios. (EO-5016),Active,Ethics of Shared Decision-Making  (TO-1000),0,Professional,,,,
Evaluate the similarity of two groups in a treatment study in regard to known prognostic factors. (EO-7795),Active,Evaluating Articles On Treatment (TO-1020),0,Scholar,,,,
Evaluate the method of analysis of patients randomized to two different groups in a treatment study. (EO-7794),Active,Evaluating Articles On Treatment (TO-1020),0,Scholar,,,,
Estimate the similarity of patients in the study to the patient in your practice and determine if the results are applicable. (EO-7798),Active,Evaluating Articles On Treatment (TO-1020),0,Scholar,,,,
Identify if all clinically important outcomes were considered. (EO-7800),Active,Evaluating Articles On Treatment (TO-1020),0,Scholar,,,,
Identify the randomization of patients in a treatment study. (EO-7793),Active,Evaluating Articles On Treatment (TO-1020),0,Scholar,,,,
Balance the treatment benefits against potential harms and costs. (EO-7799),Active,Evaluating Articles On Treatment (TO-1020),0,Scholar,,,,
Evaluate the blinding in a treatment study. (EO-7796),Active,Evaluating Articles On Treatment (TO-1020),0,Scholar,,,,
Evaluate the treatment effect and its precision in a treatment study. (EO-7797),Active,Evaluating Articles On Treatment (TO-1020),0,Scholar,,,,
